From,To,Length(m),Azimuth(deg),Clino(deg)
16@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.13,220.90,-2.00
16@PinceMi.CuevaPirates.106.UltimaPatagonia,-,2.36,189.20,-4.50
16@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.51,153.20,14.40
16@PinceMi.CuevaPirates.106.UltimaPatagonia,-,6.66,127.10,37.70
16@PinceMi.CuevaPirates.106.UltimaPatagonia,-,4.17,124.20,58.00
16@PinceMi.CuevaPirates.106.UltimaPatagonia,-,5.72,97.90,44.50
16@PinceMi.CuevaPirates.106.UltimaPatagonia,-,10.39,110.80,33.20
16@PinceMi.CuevaPirates.106.UltimaPatagonia,-,2.00,207.00,45.10
16@PinceMi.CuevaPirates.106.UltimaPatagonia,-,8.51,344.50,-12.30
16@PinceMi.CuevaPirates.106.UltimaPatagonia,-,8.43,338.20,-21.50
16@PinceMi.CuevaPirates.106.UltimaPatagonia,17@PinceMi.CuevaPirates.106.UltimaPatagonia,9.19,351.20,-10.70
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,1.22,83.30,9.50
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,0.72,40.90,72.90
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.15,257.40,-22.20
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,0.93,317.90,-76.20
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,1.52,312.90,5.40
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,5.93,185.80,-0.70
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,4.01,176.20,24.70
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,5.34,146.10,27.60
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,1.95,151.90,7.10
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.59,220.70,-23.40
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.32,248.10,-24.00
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,2.28,284.30,-28.70
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,1.94,324.40,-38.50
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,1.85,39.00,-8.50
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,4.98,343.50,-14.60
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.95,10.90,-11.00
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,2.72,346.00,-13.80
17@PinceMi.CuevaPirates.106.UltimaPatagonia,-,7.87,344.50,-7.00
17@PinceMi.CuevaPirates.106.UltimaPatagonia,18@PinceMi.CuevaPirates.106.UltimaPatagonia,5.15,347.50,-13.00
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,0.51,262.70,3.20
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,1.36,245.00,83.40
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,4.02,161.40,3.40
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.00,341.00,4.20
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,2.99,54.50,9.30
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,1.96,7.60,-4.50
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.19,330.10,3.40
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,10.38,300.90,2.20
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,6.54,310.30,0.70
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.85,299.30,-1.00
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.22,329.60,-12.40
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,1.83,6.70,-19.40
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,1.63,182.60,-11.80
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.89,138.20,16.40
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.47,114.30,22.50
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.31,77.30,20.80
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,1.99,99.10,45.30
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,2.59,120.70,26.90
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,2.80,181.30,15.60
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,4.39,202.00,-0.30
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,2.27,203.10,4.60
18@PinceMi.CuevaPirates.106.UltimaPatagonia,-,4.46,188.10,6.50
18@PinceMi.CuevaPirates.106.UltimaPatagonia,19@PinceMi.CuevaPirates.106.UltimaPatagonia,8.33,313.20,-2.50
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,0.68,39.80,-9.60
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,2.16,320.10,-2.40
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,1.58,232.80,7.00
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,2.37,142.60,0.60
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,0.51,55.70,-68.70
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,2.52,262.60,13.80
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,2.48,290.10,9.00
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,6.43,295.80,3.70
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.17,298.50,3.00
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,6.36,291.80,3.20
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,6.59,296.30,0.70
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.70,299.70,-3.20
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,1.78,249.50,6.20
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,0.81,193.00,27.50
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,1.67,162.30,19.50
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,1.15,114.50,1.50
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,3.99,128.50,12.20
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,2.00,148.80,2.00
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,4.52,155.70,10.00
19@PinceMi.CuevaPirates.106.UltimaPatagonia,-,2.09,170.60,4.80
19@PinceMi.CuevaPirates.106.UltimaPatagonia,20@PinceMi.CuevaPirates.106.UltimaPatagonia,1.79,282.70,3.30
0@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.66,346.70,83.50
0@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,7.11,75.50,26.70
0@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,4.21,108.60,31.20
0@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.99,212.40,36.10
0@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.02,241.70,6.00
0@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,7.17,256.50,6.30
0@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.50,281.80,11.20
0@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.22,307.30,19.90
0@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,9.81,343.60,-27.80
0@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.48,359.90,-23.50
0@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,11.67,13.00,-25.80
0@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,8.55,346.30,-25.50
1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.94,175.90,-83.50
1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.54,191.30,64.50
1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.94,268.20,1.40
1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.03,91.10,-1.80
1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.60,100.20,29.60
1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.65,257.40,39.70
1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.59,224.10,8.70
1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.79,192.00,24.70
1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,9.90,173.80,26.60
1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,7.29,150.10,19.00
1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.37,135.60,16.30
1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.82,40.90,-12.40
1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.96,47.40,-11.60
1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.61,358.40,-15.80
1@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,2@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,2.18,17.40,-25.90
2@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.82,15.10,78.10
2@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.45,263.30,-82.30
2@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,4.81,279.00,-10.00
2@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.38,280.50,13.70
2@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.00,108.30,38.20
2@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,4.24,95.70,6.20
2@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,4.21,56.90,-0.80
2@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.17,53.20,-2.60
2@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,3.85,53.40,-2.90
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.23,338.40,76.50
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.85,257.40,-31.20
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,4.39,262.60,-5.90
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.78,263.00,27.60
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.77,65.60,44.20
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.96,73.70,26.90
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,6.71,109.20,37.40
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,10.29,128.80,34.20
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,4.54,141.60,29.70
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,4.94,160.70,19.80
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.95,203.80,10.60
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,6.99,219.20,7.60
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.90,322.10,-4.00
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,10.01,332.20,-5.40
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.78,352.10,2.10
3@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,7.98,332.40,-2.40
4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.63,263.80,30.40
4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.41,7.10,-86.90
4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.28,251.20,5.80
4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.77,73.80,-11.40
4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.22,286.40,-17.10
4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.12,316.40,-10.50
4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.86,19.70,-7.10
4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,8.08,24.30,-6.10
4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,6.87,29.30,-5.20
4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.93,126.90,1.30
4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,8.22,140.20,12.50
4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,10.35,150.40,4.50
4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.77,155.40,3.90
4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.09,177.50,8.40
4@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,6.80,22.00,-8.20
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.65,197.00,71.00
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.53,273.80,27.30
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.69,269.70,4.30
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.34,264.30,54.90
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.13,87.10,64.00
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.41,115.10,24.60
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.57,24.70,17.60
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.57,358.40,3.00
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,4.97,337.50,-0.60
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.55,308.40,-13.50
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,4.89,294.20,-16.50
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,6.07,350.70,2.10
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.61,359.10,3.40
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,4.82,179.50,6.60
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.80,195.30,5.50
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,8.97,198.30,4.80
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.32,202.70,13.90
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.15,222.50,17.30
5@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,4.24,318.90,-8.70
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.57,85.30,78.00
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.55,16.60,6.60
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.96,185.90,31.60
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,7.24,210.70,-1.80
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.84,219.60,-8.70
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.63,230.10,-14.50
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.64,251.90,-14.40
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.19,286.10,-21.00
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.48,303.90,-24.60
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.45,169.40,15.60
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.05,199.90,-1.40
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,4.30,216.50,-8.20
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.51,171.30,15.10
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,7.67,158.60,14.80
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,6.47,138.50,13.30
6@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,7@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,3.27,305.30,-32.40
7@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.60,119.00,67.20
7@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.56,106.20,29.70
7@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,2.24,30.50,-14.30
8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.78,293.80,80.30
8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.70,260.90,65.60
8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.19,261.60,49.30
8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.22,261.30,21.20
8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.88,46.80,72.00
8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.94,56.20,49.30
8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.98,54.10,33.20
8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.71,62.60,10.30
8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,4.84,101.50,40.20
8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.61,111.60,42.20
8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.19,122.30,43.40
8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.97,146.40,39.50
8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,13.86,347.30,-19.30
8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,8.98,352.10,-17.90
8@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,9@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,15.99,348.00,-20.60
9@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.02,150.10,72.80
9@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.38,125.60,43.20
9@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.65,117.40,33.10
9@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.40,145.90,28.00
9@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.87,193.80,15.20
9@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,6.81,183.80,17.70
9@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,12.95,173.50,18.10
9@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,10.83,167.30,16.30
9@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,13.28,168.00,17.50
9@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.37,192.70,-77.00
9@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.78,39.20,-25.00
9@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,6.57,22.90,-29.40
9@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.93,22.30,-19.90
9@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,4.32,20.80,-32.90
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.57,63.40,77.40
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.34,227.80,84.00
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.54,271.30,8.90
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.91,68.60,37.20
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.36,66.70,49.30
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.05,60.30,36.60
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.44,307.90,-13.00
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.69,316.60,-10.90
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.44,325.10,-17.90
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,10.31,330.00,-21.20
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,10.93,335.50,-22.20
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,10.75,339.60,-22.10
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,4.40,356.80,-21.00
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,8.23,11.10,-25.30
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.95,12.10,-4.70
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,10.66,189.60,24.80
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,4.79,180.60,29.70
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.96,204.40,24.50
10@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,9.82,336.00,-22.90
11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.85,75.70,60.40
11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.24,85.10,69.50
11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.24,240.40,67.00
11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.51,245.00,-2.20
11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,7.24,69.10,23.60
11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,4.92,182.00,27.00
11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,6.31,165.80,26.10
11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,7.90,158.10,26.80
11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,15.72,153.30,23.50
11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.40,137.60,24.80
11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.01,86.30,29.30
11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.77,333.70,-29.40
11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,9.36,346.10,-29.60
11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.63,348.10,-29.10
11@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,12@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,5.85,347.50,-31.80
12@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.92,253.30,74.70
12@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.74,242.70,27.70
12@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.87,248.00,45.70
12@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.05,52.90,5.50
12@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.33,60.50,-1.50
12@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.95,323.90,-17.40
12@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.28,333.20,-18.90
12@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,6.83,340.10,-21.60
12@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.86,348.90,-21.70
12@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,5.45,358.90,-23.30
12@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.91,19.90,-20.90
12@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,13@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,6.53,341.70,-20.30
13@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.91,44.60,64.50
13@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.67,95.40,35.80
13@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.68,99.50,27.50
13@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.55,155.40,-65.00
13@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,3.92,9.70,-28.30
13@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,14@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,5.69,14.70,-19.80
14@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.99,53.60,83.70
14@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.98,279.10,39.00
14@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.45,269.10,-13.80
14@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.38,129.80,23.20
14@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.64,143.40,44.80
14@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,1.39,357.80,6.90
14@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.65,344.20,9.60
14@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,2.14,299.90,-19.40
14@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,15@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,2.49,342.80,10.10
15@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.51,179.30,64.30
15@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.75,133.80,32.00
15@UnCaillouDansLaCulotte.CuevaPirates.106.UltimaPatagonia,-,0.51,240.70,17.40
