,CAD_NUM,NomCadastre,Nom_complet,X (UTM 18 Sud),Y (UTM 18 Sud),Alt.,Dev. Topo,Termine?,Dev.estimé,Prof.,UP,Commentaire,Explorateurs
34,ENT_205003,CuevaLaBas,Cueva La-Bas,472569.0,4429495.0,270,429.0,oui,,-233,2008,Arrêt sur siphon,
35,ENT_205004,PerteDesDents,Perte des Dents,472991.0,4429200.0,250,505.0,oui,,-160,2008,Arrêt sur siphon,
36,ENT_205005,SumideroJuanito,Sima Juanito,472888.0,4429344.0,233,205.0,non,,-134,2008,arrêt sur rien (attention à la crue),
37,ENT_205006,CuevaArdilla,Cueva Ardilla,472675.0,4429462.0,245,,non,70,-70,2008,Arrêt sur ?,
38,ENT_205007,PozoEnBosque,Pozo en Bosque,472620.0,4429466.0,237,,oui,35,-35,2008,,
236,ENT_205007,Sou30,Sou30,472620.0,4429466.0,237,,oui,40,-35,2010,,
39,ENT_205008,Pozo 2 en Caliza,Pozo 2 en Caliza,472373.0,4429958.0,300,,oui,70,-70,2008,,
234,ENT_205008,Sou33,Sou33,472373.0,4429958.0,301,0.0,oui,80,-70,2010,,
237,ENT_205009,Sou31,Sou31,472414.0,4429499.0,281,0.0,oui,30,-30,2010,,
40,ENT_205009,Pozo 1 en Caliza,Pozo 1 en Caliza,472414.0,4429499.0,281,,oui,30,-30,2008,,
41,ENT_205010,MD-SOU01,MD-SOU01,472798.0,4429403.0,260,,oui,50,-30,2008,,
42,ENT_205011,MD-SOU02,MD-SOU02,472768.0,4429435.0,265,,oui,50,-35,2008,,
67,ENT_205012,PerteInattendue,Perte Inattendue,472890.0,4429492.0,294,1274.0,non,1274,-226,2010,Perte sur contact grès calcaires. Un moins un aflfuent pénétrable n'a pas été topographié.,"Florence, Laurent, Jo, Olivier T, Thomas, Cédric"
68,ENT_205013,PerteAmbree,La Perte Ambrée,472672.0,4429457.0,249,103.0,oui,103,-81,2010,arrêt méandre impénétrable,"Laurent C, Pierre"
70,ENT_205014,porche,porche,471557.0,4429685.0,399,,?,,?,2010,Porche jef (voir + bas),Laurent M
71,ENT_205015,PerteFaille,perte-faille,472343.0,4429312.0,309,,?,?,?,2010,,Laurent M
72,ENT_205016,sortie traversée,sortie traversée,471527.0,4429604.0,415,,?,?,?,2010,,Laurent M
73,ENT_205017,Trou serrure entrée,Trou serrure entrée,471546.0,4429667.0,407,,?,?,?,2010,,Laurent M
74,ENT_205018,grotte jef,grotte jef,471601.0,4429940.0,413,,,,?,2010,h9.5 prof10m long20m,Laurent M
75,ENT_205019,Aven grd diam,Aven grd diam,471184.0,4431010.0,275,,,,?,2010,axe probable sur faille,Laurent M
76,ENT_205020,perte 2,perte 2,472620.0,4429463.0,249,,,,?,2010,,
77,ENT_205021,PerteDesQuatreChampignons,Perte des 4 champi,474306.0,4431894.0,207,420.0,non,420,-165,2010,Exploré mais non topo jusqu'à -200 env. arrêt sur rien,"Sylvain, Cédric, José, Olivier G, Isa, "
81,ENT_205022,JamesBonde,James Bonde,474215.0,4431943.0,230,0.0,oui,70,-54,2010,A proximité du Golden Igue,"Florian, Olivier G"
85,ENT_205023,PerteDuJump,Perte du Jump,474413.0,4431894.0,191,,oui,15,-15,2010,Perte sur faille,"Olivier G, Sylvain"
87,ENT_205024,FailleDuCoinceur,Faille du Coinceur,474282.0,4432118.0,190,0.0,oui,11,-11,2010,Descente sur un coinceur et un spit: on n'a gâché qu'un seul spit,Florian
88,ENT_205025,IgueDuPlouc,Igue du Plouc,474109.0,4432134.0,200,0.0,oui,12,-9,2010,"""enfin une igue sur MDD""",Florian
89,ENT_205026,CuevaDeLaFinDeMatinas,Cueva de la fin de Matinas,474488.0,4432062.0,170,0.0,oui,20,-6,2010,plus de temps à enfiler la combi que d'explo!,Florian
160,ENT_205027,AbriGite,L'Abri-gîte,470380.0,4431713.0,1,,oui,5,0,2010,Abri de quelques m2 avec des semblants d'occupation,"Olivier T, Florian"
162,ENT_205028,GrotteDuSud,Grotte du Sud,470163.0,4431420.0,2,40.0,oui,40,15,2010,Porche de 40m x20m,"Florian, Olivier T"
164,ENT_205029,CuevaDeLaMadre,Cueva de la Madre,470109.0,4431220.0,28,532.0,non,532,-18-+20,2010,Porche d'entrée 60m haut par 125m de large. arrêt sur une E6 sur faille facile. ,"Florian, Olivier T"
165,ENT_205030,Porche,Porche,471491.0,4431944.0,20,,?,,,2010,Porche en bordure de lage non exploré. Traces humaines tres certaines.Porche 10mx5m à aller voir,"Jean Francois H, Thomas, Olivier T"
203,ENT_205031,GrotteAudeline,porche jef = gr audeline,471572.0,4429671.0,357,,,,,2010,,
238,ENT_205035,Porche,Porche,471623.0,4430070.0,388,,oui,10,0,2010,"Porche 20m de large, qui queute","Jean Francois H, Thomas, Olivier T"
240,ENT_205036,Aven,Aven,471645.0,4430061.0,360,,?,,,2010,"Puits 4m de diamètre partant en méandre, à voir","Jean Francois H, Thomas, Olivier T"
241,ENT_205037,GrotteSueno,Grotte Sueno,471621.0,4429939.0,423,,?,,,2010,Abri à Jeff,"Jean Francois H, Thomas, Olivier T"
31,ENT_206001,CuevaAyayema,Cueva Ayayema,476883.0,4424327.0,,,oui,,,2008,Coordonnées 2000 fausses (repointage 2008),
32,ENT_206002,GrotteDuDyke,Grotte du Dyke,476461.0,4423410.0,,,oui,,,2008,Callote hoxipitale,
33,ENT_206044,ResurgenceDuChampignon,Résurgence du Champignon,477682.0,4426231.0,0,,non,,,2008,résurgences sous marine repéré (-25 mètres),
446,ENT_207001,SystemeCondors, Systeme des Condors,479379.0,4428572.0,141,,,,,2006,,
447,ENT_207001,SystemeCondors, Systeme des Condors,479379.0,4428572.0,141,,,,,2006,,
448,ENT_207001,GouffrePetitCreux, Gouffre du petit creux,479379.0,4428572.0,141,,,,,2006,,
23,ENT_208001,Cueva10H10,Cueva 10H10,468779.0,4427269.0,80,341.0,non,160,-7-+23,2008,,
28,ENT_208002,Résurgence 9 plage de la Baleine,Résurgence 9 plage de la Baleine,468617.0,4427344.0,40,,non,10,0,2008,Arrêt sur escalade,
29,ENT_208003,Grotte20PlageDeLaBaleine,Grotte 20 plage de la Baleine,468950.0,4428050.0,20,,oui,40,,2008,,
229,ENT_208004,Aven,Aven,470687.0,4426335.0,559,,?,,,2010,Cavité à voir ,Didier
230,ENT_208005,Aven,Aven,470676.0,4426340.0,561,,?,,,2010,Cavité à voir ,Didier
13,ENT_209001,PleinCintre,Grotte du Plein Cintre,473616.0,4425884.0,215,500.0,oui,50,+45--34,2008,"Résurgence (arrêt sur siphon, intstrumenté)",
14,ENT_209002,EmergenceBarillet,Emergence du Barillet,472922.0,4425932.0,436,64.0,oui,,21,2008,Amont de la détente,
15,ENT_209003,GouffreDeLaGachette,Gouffre de la Gachette,473027.0,4425922.0,428,,oui,40,-15,2008,cavité explorée (jonction avec puits d'entrée de la Détente),
16,ENT_209004,Perte de l'Acharné,Perte de l'Acharné,473027.0,4425450.0,334,,oui,45,-43,2008,,
18,ENT_209005,Perte n° 18,Perte n° 18,473067.0,4425846.0,422,57.0,oui,,-34,2008,,
19,ENT_209006,ResurgenceDeLaPlage,Résurgence de la plage,471328.0,4422992.0,3,380.0,non,,+25--28,2008,Arrêt sur galerie exondé post S1 (-28m-200m),
20,ENT_209007,GrotteEvier,Grotte de l'Evier,473527.0,4428264.0,195,75.0,non,,-60,2008,Arrêt sur puits à finir par beau temps : entrée de la perte du temps ?,
22,ENT_209009,CuevaGringa,Cueva Gringa,472980.0,4428693.0,154,,oui,30,-30,2008,petite perte,
43,ENT_209010,DolineCalafate,Doline Calafate,473125.0,4428203.0,250,,non,,,2008,"rebouchée par éboulis, restes archéologiques",
167,ENT_209011,GouffreDeLaDetente,Gouffre de la Détente,473050.0,4425902.0,445,,oui,160,-323,2010,dév total: 800m,
169,ENT_209012,Aven,Aven,473026.0,4425860.0,450,,,,,2010,a explorer - photo 221,
170,ENT_209013,Aven,Aven,473542.0,4426174.0,357,0.0,,,,2010,P20? photo 200-202,
211,ENT_209014,GouffreDuKit,Gouffre du Kit,470653.0,4425395.0,505,0.0,oui,130,-120,2010,P100,"Isa, José, Serge"
212,ENT_209015,GouffreCumpleAnos,Gouffre Cumple Anos,471149.0,4425341.0,412,119.0,non,168,-81,2010,gouffre d'entrée suivi d'un méandre au contact grès-calcaire. Arrêt sur étroiture passable.,"Jean Francois H, Didier, Laurent M, Florence, Olivier T"
213,ENT_209016,LaMarmotte,La Marmotte,470988.0,4425143.0,,,oui,60,-57,2010,,"José, Isa, Serge"
214,ENT_209017,AvenKinka4,Aven Kinka 4,471051.0,4425241.0,428,,oui,60,-40,2010,vu et descendu par José le 19-01-2010,José
215,ENT_209018,Perte3,Perte,471314.0,4425512.0,,,oui,60,-40,2010,,"Isa, José"
216,ENT_209019,AvenKinka3,Aven Kinka 3,471049.0,4425081.0,413,,oui,48,-28,2010,"vu et descendu par équipe Quinqua 19-01-2010 (Bruno, José, Jo, Fabien et Didier)","José, Bruno, Fabien, Didier"
217,ENT_209020,Aven,Aven,470677.0,4425348.0,,,oui,30,-20,2010,,"José, Isa, Serge"
218,ENT_209021,Aven,Aven,471014.0,4425120.0,,,oui,20,-20,2010,,"José, Isa, Serge"
219,ENT_209022,Aven -20,Aven -20,471157.0,4425311.0,418,,oui,20,-20,2010,,Mulot
220,ENT_209023,Gouffre1,Gouffre,471349.0,4425470.0,,,oui,,-20,2010,,"Isa, José"
221,ENT_209024,AvenKinka2,Aven Kinka 2,471052.0,4425189.0,428,,oui,30,-15,2010,"vu et descendu par équipe Quinqua 19-01-2010 (Bruno, José, Jo, Fabien et Didier)","Bruno, Didier, Jo, Fabien, José"
222,ENT_209025,AvenKinka1,Aven Kinka 1,471078.0,4425341.0,451,,oui,20,-15,2010,vu et descendu par Fabien et Didier le 19-01-2010,"Fabien, Didier"
223,ENT_209026,Aven non descendu,Aven non descendu,471817.0,4424205.0,434,,?,,,2010,,Mulot
224,ENT_209027,Aven,Aven,471827.0,4424273.0,433,,?,,,2010,a explorer. P30?,Laurent M
225,ENT_209028,Aven,Aven,471576.0,4424536.0,414,,?,,,2010,a explorer. P30?,Laurent M
226,ENT_209029,GrandAvenPerte,Grand Aven-Perte,471504.0,4425157.0,359,,?,,,2010,Trou D,
227,ENT_209030,TROUA,TROU A,471073.0,4425289.0,433,,?,,,2010,,Mulot
228,ENT_209031,GrandeDolinePerte,Grande Doline-Perte,471511.0,4425318.0,347,,?,,,2010,impénétrable,
231,ENT_209032,Aven,Aven,471002.0,4425391.0,466,,,,,2010,,Mulot
442,ENT_209040,PozoAlRato, Pozo Al rato,470997.0,4424711.0,380,,,,,2006,,
443,ENT_209041,PozoDeLosCinquetenos, Pozo de los Cinquetenos,471314.0,4425650.0,386,,,,,2006,,
441,ENT_209053,CuevaTorseOublie, Cueva Torse Oublie,473117.0,4426008.0,444,,,,,2006,,
444,ENT_209058,PerteDesSabliers, Perte des Sabliers,473093.0,4426314.0,452,,,,,2006,,
434,ENT_210001,ResurgenceFinDeSeno,Surgencia fin del Seno,482476.0,4427291.0,0,,,,,2006,,
1,ENT_211001,AbrigoDelViento,El Abrito del Viento,469367.0,4421504.0,407,430.0,oui,20,-197,2008,Arrêt sur Voute Mouillante très étroite,
2,ENT_211002,SumideroPiquante,Sumidero Piquante,469510.0,4421914.0,191,450.0,oui,,-147,2008,Arrêt sur méandre trop étroit,
3,ENT_211003,GouffreAguilucho,Gouffre d'Aguilucho,470302.0,4421526.0,73,302.0,non,,-97,2008,Siphon amont - aval,
4,ENT_211004,ExsurgencePicaflor,Exurgence du Picaflor,470298.0,4421336.0,10,40.0,oui,,5,2008,Résurgence,
7,ENT_211006,SimaDelCol,Sima del Col,469700.0,4421477.0,348,,oui,30,-30,2008,,
8,ENT_211007,MD-BDGS01,MD-BDGS01,470451.0,4422187.0,192,,non,,,2008,"cavité non explorée (salle, arrêt sur P20)",
9,ENT_211008,MD-BDGS02,MD-BDGS02,469167.0,4420570.0,461,,oui,,,2008,Zone de pertes colmaté par les grés - fin de prospection bande de grès,
10,ENT_211009,MD-BDGS03,MD-BDGS03,470593.0,4421961.0,71,,oui,20,-15,2008,,
11,ENT_211010,MD-BDGS04,MD-BDGS04,469430.0,4420543.0,536,,non,,,2008,puits sur lapiaz repéré (P40),
12,ENT_211011,MD-BDG05,MD-BDG05,469163.0,4421761.0,310,,non,,,2008,P15 repéré non descendu : fin prospection bande de grès sud,
86,ENT_211012,GrotteGrandeSoeur,Grotte Grande Soeur,468326.0,4422439.0,360,0.0,oui,20,-13,2010,,Florian
171,ENT_211013,Gouffre36,Gouffre 36,469283.0,4422857.0,392,,oui,50,-45,2010,,"Denis, Olivier T"
172,ENT_211014,GouffreDesMousquetaires,Gouffre des Mousquetaires,469809.0,4422763.0,298,,oui,56,-44,2010,arrêt sur trémie,"Arnauld, Laurent C, Cédric"
173,ENT_211015,GouffreDeLArche,Gouffre de l'Arche,469950.0,4422849.0,310,,oui,,-32,2010, arrêt méandre impénétrable,"Cédric, Arnault, Laurent C"
175,ENT_211016,GouffreALaTeteDOurs,Gouffre à la tête d'Ours,469828.0,4422922.0,332,,oui,25,-22,2010,,Olivier T
176,ENT_211017,Aven,Aven,469300.0,4422855.0,322,0.0,oui,20,-20,2010,"Beau puits 20m, porche 8mx4m, bouché","Olivier T, Denis"
177,ENT_211018,GrotteDeLobosSecos,Grotte de Lobos Secos,469869.0,4422885.0,328,,oui,79,-17,2010,Sert de camp pour la zone Lobos,"Laurent C, Denis, Arnauld, Cédric, Olivier T"
178,ENT_211019,GrotteMarion,Grotte Marion,468214.0,4423045.0,339,74.0,oui,74,-17,2010,"explo-topo Thomas et Fabien le 24-01-2010, arrêt sur perte active étroite verticale en crue (qq l-s), ressaut passable sans corde, à faire par temps sec",Fabien Thomas
179,ENT_211020,MeandreDesSables,Méandre des Sables,469499.0,4422846.0,384,38.0,oui,38,-15,2010,"explo-topo Thomas et Fabien le 24-01-2010, arrêt sur étroiture ponctuelle en roche massive l35 cm à élargir de peu pour passer. Vue sur 3,5 m pénétrable, très fort courant d'air sortant glacial",Fabien Thomas
180,ENT_211021,GrotteDeLaConduite,Grotte de la Conduite,468835.0,4422513.0,364,,oui,30,-15,2010,Une conduite forcée traverse à la perpendiculiare le gouffre formé à partir d'une fracture vers -15m (avec un remplissage témoin).,"Cédric, Buldo"
181,ENT_211022,CuevaDelAgua,Cueva del Agua,470151.0,4422766.0,352,,oui,20,-15,2010,effondrement important terminé sur éboulis. Une bache a permis de recueillir de l'eau en période sèche au camp des Lobos (accès facile),"Cédric, Arnauld"
182,ENT_211023,AvenDeLaTraverse,Aven de la Traverse,467933.0,4422916.0,353,35.0,oui,35,-12,2010,explo-topo Thomas et Fabien le 24-01-2010,Fabien Thomas
183,ENT_211024,GrotteDuNomade,Grotte du Nomade,468873.0,4422340.0,354,,oui,67,-9,2010,"Située sur la bande de grès, cette grotte est un vraisemblable abri temporaire","Arnauld, Denis, Olivier T"
184,ENT_211025,GrotteFilostik,Grotte Filostik,469520.0,4422874.0,291,,oui,24,-8,2010,"Courte perte dans laquelle ont été trouvés quelques os, moule, patelles","Isa, Laurent C, Olivier T"
185,ENT_211026,PorcheDeLaMadre2,Porche de la Madre 2,468705.0,4422852.0,364,,oui,20,-8,2010,petit porche avec un puit de 5m donnant sur un méandre avec arrêt sur éboulis,"Cédric, Jean Phi"
186,ENT_211027,Aven,Aven,469418.0,4422796.0,294,0.0,oui,15,-6,2010,P6 qui queute,"Olivier T, Denis"
187,ENT_211028,Abri3,Abri,469283.0,4422170.0,403,,oui,15,0,2010,Abri pouvant servir de camp,"Olivier T, Denis, Arnauld"
188,ENT_211029,Aven,Aven,469741.0,4422253.0,432,,,,,2010,non descendu,"Olivier T, Denis"
189,ENT_211030,GrandAvenTriple,Grand Aven Triple,468572.0,4422366.0,365,,oui,,,2010,"R30 au contact, bouché",Fabien
190,ENT_211031,PerteEnsablée,Perte Ensablée,468805.0,4422367.0,374,,,,,2010,Grotte au contact grès calcaire,Fabien
191,ENT_211032,Cueva1,Cueva 1,470582.0,4422455.0,581,,,,,2010,"a explorer, grosse entrée (10-20) dans la montée qui va de l'embarcadaire a la caverne des Lobos",Cédric
192,ENT_211033,Porche,Porche,468379.0,4422465.0,357,,oui,,,2010,porche bouché. Abri au vent,"Olivier T, Denis"
193,ENT_211034,AVEN ?,AVEN ?,470236.0,4422475.0,309,,,,,2010,,Olivier T
194,ENT_211035,Aven,Aven,468258.0,4422538.0,415,,,,,2010,non descendu,"Olivier T, Denis"
195,ENT_211036,LobosMatos,Lobos Matos,470178.0,4422545.0,303,,,,,2010,"a explorer, beau gouffre d'entrée (30m sondé)",Cédric
196,ENT_211037,aven,aven,470197.0,4422588.0,288,,,,,2010,,
197,ENT_211038,Aven,Aven,468322.0,4422615.0,389,,,,,2010,P20 interessant non descendu,"Olivier T, Denis"
198,ENT_211039,aven,aven,469821.0,4422749.0,298,,,,,2010,,
199,ENT_211040,Aven,Aven,469656.0,4422828.0,287,,oui,,,2010,bouché,"Olivier T, Denis"
200,ENT_211041,Cueva5,Cueva 5,469763.0,4422959.0,310,,,,,2010,"a explorer, dans la doline des lobos",Cédric
201,ENT_211042,Cueva6,Cueva 6,469807.0,4423507.0,433,,,,,2010,"a explorer, loin au nord",Cédric
202,ENT_211043,Perte1Lobos,Perte 1Lobos,468573.0,4422358.0,332,,,,,2010,,
205,ENT_211044,PerteDesLobos,Perte des Lobos,467782.0,4422983.0,330,556.0,oui,556,-303,2010,,"Florian, ..."
210,ENT_211044,PuitsOctopus,Puits Octopus,467782.0,4422983.0,330,,oui,,,2010,jonctionne avec la perte des lobos (coordonnées des lobos),
206,ENT_211045,ElCuloDeLaMadre,El Culo de la Madre,468699.0,4422722.0,355,,oui,182,-78,2010,Grosse entrée impressionnante qui suit un plan de faille et qui se termine par deux belles salles avec arrêt sur des éboulis.,"Sylvain, Cédric, Buldo"
207,ENT_211046,LaGrotte,La Grotte,468496.0,4422512.0,331,0.0,oui,9,-9,2010,"""inutile d'y aller""",Florian
208,ENT_211047,IgueDeDob,Igue Dedob,468516.0,4422547.0,,0.0,oui,15,-8,2010,"""buldo m'a forcé à y aller"" Flo.",Florian
209,ENT_211048,GrottePetiteSoeur,Grotte Petite Soeur,468366.0,4422459.0,,0.0,oui,20,-4,2010,"coups de gouges de 0,1x0,2m",Florian
61,ENT_212001,GrotteDeTarlton,Grotte de Tarlton,468000.0,4417000.0,30,,oui,100,,2008,Coordonnées (pointage carte) - Intérêt karsto,
62,ENT_212002,TAR01,TAR01,470651.0,4418054.0,294,,non,,,2008,"cavité repérée, non explorée",
63,ENT_212003,TAR02,TAR02,470567.0,4417883.0,380,,non,,,2008,"cavité repérée, non explorée",
64,ENT_212004,TAR03,TAR03,470359.0,4417650.0,525,,non,,,2008,"cavité repérée, non explorée",
65,ENT_212005,TAR04,TAR04,470446.0,4417762.0,476,,non,,,2008,"cavité repérée, non explorée",
66,ENT_212006,TAR05,TAR05,470679.0,4418000.0,340,,non,,,2008,"cavité repérée, non explorée (plus d'autres cavités dans le même secteur)",
0,ENT_213001,LeMasqueEtLaPlume,Perte du Masque et de la Plume,473667.0,4416955.0,90,1156.0,oui,,-66,2008,Instrumenté,
439,ENT_213002,GrotteFinistere, Grotte du Finistere,472739.0,4416716.0,37,,,,,2006,,
440,ENT_213003,PerteGlaciaire, Perte Glaciaire,472988.0,4417752.0,100,,,,,2006,Coordonnees probablement fausses,
246,ENT_303001,Trou 1 sur 3eme bloc calcaire,Trou 1 sur 3eme bloc calcaire,495068.0,4309020.0,186,,,,,2014,,
248,ENT_303002,PerteDesPortesDAbraham,Perte des Portes d'Abraham,494398.0,4309243.0,163,,,483,-135,2014,Topographie,
249,ENT_303003,CuevaNutria,Cueva Nutria,495399.0,4309090.0,20,,,176,16 - -15,2014,Topographie,
256,ENT_303004,LeRaccourci,Le Raccourci,494845.0,4308933.0,274,,non,30,-30,2014,"un P30 non descendu plein lapiaz, voir GPS Buldo",
257,ENT_303005,Le RaccourciVegetal,Le Raccourci Végétal,495383.0,4308977.0,55,,non,20,-5,2014,petite traversée avec P5 non descendu GPS Buldo,
258,ENT_303006,CuevaTortillaConCitron,Tortilla con Lemon,495075.0,4308714.0,253,160.0,oui,160,-32,2014,Intégrale,
260,ENT_303007,GouffreDeLErbra,Gouffre de l'Erbra,494387.0,4309486.0,86,1356.0,non,1356,30 - -59,2014,"Topographie, plus de 400 m explorés non toporgaphié",
261,ENT_303008,RegardResurgenceAvenir,Regard sur la résurgence de l'Avenir,494567.0,4309691.0,,,,,,2014,20 m en aval de la perte principale,
268,ENT_303009,CuevaDuPlateau,Cueva du Plateau,493877.0,4308702.0,,,,20,-20,2014,,
269,ENT_303010,IgueDuDike,Igue du Dike,493877.0,4308689.0,,,,20,-20,2014,,
270,ENT_303011,Pas de nom,Pas de nom,493833.0,4308577.0,,,oui,0,0,2014,Perte impenetrable,
277,ENT_303012,P20,P20,494928.0,4309421.0,301,,?,20,-20,2014,"Non descendu, au dessus de l'émergence d'Abraham",
303,ENT_303013,Pas de nom,Pas de nom,494496.0,4309737.0,,,,,,2014,Sur le chemin pour aller à Erbra ; Grotte Topographiée,
280,ENT_303014,GouffreSansDeconner,Gouffre SansDéconner,495472.0,4308988.0,21,,,100,-20,2014,Schéma,
315,ENT_303015,ResurgenceOubliee,Résurgence Oubliée,494941.0,4309441.0,,,non,2,-1,2014,"Coordonnée estimé sur image satellite ; Résurgence de la perte d'Abraham, prouvé par coloration",
243,ENT_304001,PerteDeLaSucriere,Perte de la Sucrière,493130.0,4308331.0,399,,oui,120,-80,2014,terminé à -80,
244,ENT_304002,OjoDelDiablo,Œil du Diable (ex perte majeure),493244.0,4309199.0,315,,,368,-81,2014,Topographie,
245,ENT_304003,PerteDeLaSucriereInferieure,Perte de la Sucrière inférieure,493001.0,4308652.0,330,,,203,-84,2014,Topographie,
245,ENT_304004,ResurgenceDeLAvenir,ResurgenceDeLAvenir,494716,4309605,3,,,,,2014,Topographie,
247,ENT_304058,PerteCol1,Perte Col 1,493722.0,4308518.0,482,,,,,2014,,
250,ENT_304005,TC1,TC1,493342.0,4308357.0,484,,oui,40,-40,2014,Colmaté,
251,ENT_304006,TC2,TC2,493337.0,4308329.0,488,,oui,30,-30,2014,Colmaté,
252,ENT_304007,TC3,TC3,492238.0,4307919.0,544,,oui,65,-65,2014,Colmaté,
253,ENT_304008,TC4,TC4,493149.0,4307944.0,533,,,0,0,2014,"Impénétrable, à désober",
254,ENT_304009,TC5,TC5,493139.0,4307904.0,533,,,,,2014,,
255,ENT_304010,TC6,TC6,493149.0,4307879.0,522,,oui,,,2014,Colmaté,
262,ENT_304011,GouffrePacifico,Gouffre Pacifico,492835.0,4307760.0,386,,?,356,-196,2014,"Explo Romain-Seba + Lionel-Natalia + Tigrou-Denis-Steph, topo réalisée",
263,ENT_304012,Pas de nom,Pas de nom,492741.0,4307760.0,372,,,,,2014,,
264,ENT_304013,Pas de nom,Pas de nom,492538.0,4307322.0,344,,,,,2014,,
265,ENT_304014,Pas de nom,Pas de nom,492549.0,4307305.0,,,,,,2014,,
266,ENT_304015,PerteDuCol1,Perte du col 1,493740.0,4308750.0,,,,-30,-30,2014,Puits sur faille,
267,ENT_304016,PerteduCol2,Perte du col 2,493735.0,4308575.0,,,,0,0,2014,Extrémité Nord de la faille,
271,ENT_304017,IgueDuMidi,Igue du Midi,493488.0,4308749.0,,,non,70,-58,2014,Arrêt sur méandre étroit,
272,ENT_304018,IgueEnviluc,Igue Enviluc,493487.0,4308761.0,,,,18,-13,2014,,
273,ENT_304019,CuevaManana,Cueva de la Mañana,493354.0,4308416.0,,,oui,11,-11,2014,Colmatage de grès,
274,ENT_304020,TrouDuCairn,Trou du Cairn,493378.0,4308649.0,,,,40,-40,2014,,
275,ENT_304021,GouffreDesTroisArches,Gouffre des Trois Arches,493345.0,4308371.0,483,,,60,-42,2014,Arrêt sur Siphon,
276,ENT_304022,GouffreDeuxSpitsPourRien,"Gouffre ""2 spits pour Rien""",492718.0,4307932.0,358,,,50,-33,2014,,
278,ENT_304023,GouffreNoFutur,Gouffre No Futur,494209.0,4303537.0,438,,,40,-40,2014,Croquis,
279,ENT_304024,GouffreRetourVersLeFutur,Gouffre Retour vers le Futur,494247.0,4303396.0,412,133.0,,133,-61,2014,"Topo, Arrêt sur désob",
281,ENT_304025,Arc13,Arc 13,492630.0,4307395.0,325,,,20,-15,2014,Schéma,
282,ENT_304026,Arc12,Arc 12,492811.0,4307523.0,387,,,40,-30,2014,Schéma,
283,ENT_304026,Arc12bis,Arc 12bis,492811.0,4307523.0,387,,,20,-15,2014,Schéma,
284,ENT_304028,Arc3,Arc 3,492744.0,4307438.0,368,,,45,-30,2014,Schéma,
285,ENT_304029,Arc4,Arc 4,492791.0,4307449.0,380,,,20,-20,2014,Schéma,
286,ENT_304030,SumideroFuturo,Gouffre Futur 1,493519.0,4304030.0,545,,,,,2014,Voir Schéma Xav,
287,ENT_304031,SumideroFuturo,Gouffre Futur 2,493402.0,4304216.0,562,,,40,-30,2014,Voir Schéma Xav,
288,ENT_304032,Gouffre N°1 Sommet 3,Gouffre N°1 Sommet 3,493524.0,4304050.0,554,,,70,-40,2014,Jonctionne avec Gouffre Futur 1 de Tigrou ; Arrêt sur éboulis à -40 m,
289,ENT_304033,Pas de nom,Pas de nom,493405.0,4304223.0,557,,oui,40,-30,2014,Terminé ; Même gouffre que le Gouffre Futur 2 de Tigrou,
290,ENT_304034,Gouffre n°3 sommet 3,Gouffre n°3 sommet 3,493434.0,4304074.0,54,,oui,20,-16,2014,Terminé,
291,ENT_304035,GrotteMachuPichu,Machu-Pichu,492079.0,4310722.0,,214.0,?,214,16 - -4,2014,Topographie,
292,ENT_304036,GouffreUnCulDePlusAExplorer,"Gouffre ""Un cul de plus à explorer""",492861.0,4307876.0,399,,non,,,2014,A explorer,
293,ENT_304037,Gouffre près du camp du Futur,Gouffre près du camp du Futur,494155.0,4303338.0,407,,non,20,-20,2014,"A Explorer, P20 mini",
294,ENT_304038,Arc14,Arc 14,492564.0,4307349.0,347,,non,60,-60,2014,"P60 à explorer par temps sec, arrêt sur rien",
295,ENT_304039,SystemaLosTubos,Cueva del Condor,491290.0,4307597.0,230,,,763,-110,2014,Altitude estimée ; Systema de los Tubos,
299,ENT_304040,PertePerdue,Perte perdue,490540.0,4306695.0,106,,oui,25,-10,2014,Coordonnées levées sur carte ; Terminée,
296,ENT_304040,SumideroEscondido,Sumidero Escondido,490540.0,4306695.0,106,174.0,oui,174,-55,2014,Coordonnées levées sur carte ; Terminée,
297,ENT_304041,SurgenciaEstrella,Surgencia Estrella,492249.0,4307720.0,65,,non,50,20,2014,"Grosse résurgence, 25 m de long, gros siphon à plonger, galerie remontante sur 20 m",
298,ENT_304042,CuevaEstrella,Cueva Estrella,492261.0,4307711.0,95,,,100,-30,2014,"Au dessus de la résurgence Estrella, Accés au collecteur entre 2 siphons",
300,ENT_304044,GouffreExploreViteFait,"Gouffre ""Explorévitefait""",490470.0,4306552.0,101,,oui,100,-60,2014,Coordonnées levées sur carte ; Terminée,
301,ENT_304045,Puits1JeanPhi,Puits 1 Jean-Phi,491049.0,4307630.0,250,,,,,2014,Altitude estimée,
302,ENT_304046,SystemaLosTubos,Pozo Dyke (System de los Tubas),491165.0,4307597.0,,,,,,2014,Altitude estimée,
304,ENT_304047,Arc1,Arc 1,492098.0,4306813.0,276,,oui,50,-30,2014,Croquis ; Fini,
305,ENT_304048,Arc11,Arc 11,492226.0,4306784.0,260,,oui,50,-30,2014,Croquis ; Fini,
306,ENT_304049,Arc111,Arc 111,492134.0,4306635.0,258,,oui,30,-15,2014,Croquis ; Fini,
